id,fecha,cantidad,tipotrans,cuentaorigen,cuentadestino,dateCreated,lastUpdated
911747,2020-05-18,182276.0146148344,DYFhtTu4V,nhk4lppxbtZqDlemGbM1EL5moq27FpUh62WL89xNMWGA3vA5R9sr4QqsBqy1VIePyxOhboPE0xk8AfUT2ZgRHo5XDbuu2EozOAXm4sZNFXJy6yu9,TcvRTxn,2019-10-21 13:44:26.684667,2023-11-01 09:17:33.994490
908857,2019-03-22,511327.87550039234,y7awaJ2v,WE3LipWbhCbI9PWbapgZS7s5J6rCpyWGcqNcLgLhZIhZinRnVIVS5r4XWHHsBq56GllO2t3qpVh6kXIIt5LThfrbNXc29hcNdKs3qeAkkzmsPVjxBf9ewxvPdIGTTk8hXE8TS,t7jPQsg1v5ppoQ9HFqF7hCd6g7qVJbnqFkDPNrYPF7P2kpnYHXQ3lLeNDCoAwJvb1ff2xQQFzSaGZj4ojs1Oueww8zm4hDGYlIYyRL4KhKL2tSS12YpfpV1IpUyR23i9Vho6OakcegJ2lE3RWvROMZaaJZmx0FyRgQAC01QOVXOLfxuw4inpBAuUO3qeJCaDxX2iiKYFP5oWM3,2021-09-06 11:26:32.737032,2022-09-01 22:09:29.939722
484100,2021-08-02,743591.0648364123,cofLxO,xzqlr98CLZJR03xhqJkN7h4BuGa9JMRYEp6pjlO1HKQwkMOQcpuGE8I9bENVExNhqK7lnSX5EqcdbLEpqUAOKih2ViFGSU8QlY4OxCjkPlAMljlvXJeU5cC6cuQ,hRa3kmDVveoCbjhzqTztmNVXQM3C6cukVJ2IuXPwZdeqPznDhDQoisUM4hWjn2UQxaIHpBollODVWYCq3O9vFr3PS4JLIZhg4OvHasaUvy4e052cLoro45o0Gsy7jYVDG6YEzqRnHymSVLnzJu56VgXm6C2wcGu,2021-05-04 01:33:31.093237,2022-10-11 14:17:04.412376
752871,2022-07-13,252830.70844210772,DcktA9Dh,SQS6RudJ6bkLoJ216EsgkcAdQbOhpYdKzsi3yH438ykKrfJxUBlHkNxphAyGMmcExgdBfTiisWej1YiBkJzXslvepVH3HySARv5avC8W7b83rdUvb8O6pKnOOzQWTy7Zz4rFPCuo5vacLKtVM2oot3HO99mbSnlcSbMXeZvG7CAE5QNJKJRUXWPw3fywdn9Jh5XTKH0u5f7Qtt6oSA59iETFGjt,gXTXqkFGg4tt8LPRTXqS0bB1noC4MgQOfaR3iCCSh7ZIDluyzo4GTS0RGTOTjuPqBsm2QyjOJnZzCNDgNqkWJHVuRUfosuNB8w7FJcZo0AxKLmojMvPk3PKG0GcFc5JEFExQ98YbPmOOAq,2020-07-31 18:38:07.692514,2022-04-07 15:28:49.823734
175579,2021-09-12,530695.27437524,pjZ,Uazq0tq0YjamUHuRwYqmmha5euNfUBtYGYAqqW9wTIakJ47rqyPgjbJE1GwMffdgvqDSUXC2EKm3xsI1RWhajJeM8kkOPvvKDB9bDN4KIucOl8Hl9qoP,9u1fDcFVtMDaoaFBQgns6cUDTEwS76wB5uVhsslMPPa3hC5dMl55SinMzX7KIKpI3ORb6taE8es85Y4C7TUQVQQPqCPVxaBK5vzYyVPzKyw7lnZ1RIdIUy9UXuTSDFOJsZNPijhTSDEcXkNrwGTShvhMH9f8JehqeFmw6Iamlh5mgHgOZhVs5e4jp5aF6dhoisOUsp9DWO0qjl3LERf6YG5xdi6KdsQZt3fh9bUJ,2022-09-06 00:31:12.010872,2021-10-09 01:11:48.313691
390564,2023-10-25,904745.6471975173,Dwt4ep,ImK3iUY6ONBPQytGrqNLM4eMJ9X3ZppC5zUfMzF6iuYkiQql6VZG4JlrVH047SMdM5TZB1eyALyS0YWup0B6oTIWenTOrZuCHDKDiCCzib1Ya7a,Qqjc0we258oz3Qs5HUgf8X3GQjTvfsvoUuHhEKVFFijT3pCfzSmsTdgZAB1ii6BBlg738uBzS4G97TYDr1iX862eloAVjbqeKrjwExBL3D60oUDECXhv77m1kmX4N1Cja9ec3O6oMnbfa6PsbNJugcQYzO7BNaLqqZgTekM3nzy,2023-12-01 20:26:44.291694,2021-01-12 04:38:48.547942
731390,2023-11-07,886783.0161320409,npDK,sIAP0Pkx3Pq4SjwcbEkz0ibbogS6IfeYL2UxI71toxTLfi3I4aCjTUHvmyE90Z69SEpwMixo4wC1AlJboYSRRZmEsnPXqKKDd3TYwpsaI6EOsdDvR8UKuQHWtut2NN490Khx48Abng0C9U6O5ojlhMUYIpjqFE1IdIvobPMtYsTIUjc8OO,aLUD2hmrKMidV4ASK4v285e2XOBh0yVwlt0tVzF6RVmVFjnnIpX0IytzeFFmKRgmKS5CB6F72cjkP3JlcrxKes7JdAwl6I5uZO9DQRr7RqNhbcmI4vrOkan00CsOiZEmpC7EJGl3kjzAnyKCkZPdictk0FHv776Wro2ZBhjOdnxFqp50u8GjE3ndUFzU1be,2022-05-07 04:55:09.641430,2019-11-02 00:45:22.704723
529274,2020-09-20,152633.67526536345,irUDMjKQY,U0svtLd8W3fD6oV,XdXz73qPJsa6Rj445doVNKkLaUXIqyUjcrVao7EnpAxatkMVFEAwPjs69otlXVJEj0KmM,2020-06-04 21:03:59.534858,2021-04-20 01:57:06.217099
277343,2020-11-22,493502.3209792466,NqouHMa,QY6XPStNWR2DHfDkOMLkobSuNqkflMzvaTqDiQaH5yI5fdpVzVBCMufTe7meSCSo4G8sgcjBTS4WD8J8MgSKs9kQ4zQLFKSqjeJkSiC2fhFkaIj7Y,8fiVI4s2xYaq212wmRLZKhOy8IPkya5kLRuwZOVwsE5lR3a1sxnpeknzo3lvDUDgwco2WmVusLDPLU75HpIkwEzzNU1shRIz4cu74kDOdn7cCvzjScWVAYHlbI5vx4IGFiNeYvftwt5uIpgyc6q51wI5qr3IxVfoUXD37vxaBJ86wSQ,2023-08-22 17:39:02.487911,2019-02-12 17:28:25.847831
173262,2019-10-13,215614.61205579285,3fVif7x,nqXrFb8wSxT7epniDYoQ1Yp6NBRAtJ1KCCo4HyZsYzCEjgKUHo0FLVUnTWsieum2,qdicsl7CSjBD642dj8jMlHzhzPbCDaXxlK80WneHZqpUVxgzbTm6a5LPHQv1OkwVIJvyy6WDFgy3n9j9USShwBGsJL9h39OqQAlqOHpudiLgayRxstDDlh9EVT6WHomjSFQBvykkBLhGWfFxhQiDUFCvXxvRjf0C2WnVkdnqP9d9dfGjgERedQ841BgP,2019-10-07 02:51:35.806964,2019-03-27 23:11:06.664015
